,Date,Forecasted Transfer Count
1347,2024-01-01,3
1348,2024-01-02,3
1349,2024-01-03,0
1350,2024-01-04,1
1351,2024-01-05,0
1352,2024-01-06,1
1353,2024-01-07,2
1354,2024-01-08,0
1355,2024-01-09,0
1356,2024-01-10,-1
1357,2024-01-11,1
1358,2024-01-12,2
1359,2024-01-13,2
1360,2024-01-14,1
1361,2024-01-15,-1
1362,2024-01-16,-1
1363,2024-01-17,-1
1364,2024-01-18,1
1365,2024-01-19,1
1366,2024-01-20,-2
1367,2024-01-21,-2
1368,2024-01-22,-4
1369,2024-01-23,0
1370,2024-01-24,2
1371,2024-01-25,1
1372,2024-01-26,-1
1373,2024-01-27,-3
1374,2024-01-28,-4
1375,2024-01-29,-4
1376,2024-01-30,-1
1377,2024-01-31,1
1378,2024-02-01,-5
1379,2024-02-02,-4
1380,2024-02-03,-7
1381,2024-02-04,-1
1382,2024-02-05,0
1383,2024-02-06,0
1384,2024-02-07,-4
1385,2024-02-08,-5
1386,2024-02-09,-6
1387,2024-02-10,-6
1388,2024-02-11,-2
1389,2024-02-12,0
1390,2024-02-13,-8
1391,2024-02-14,-7
1392,2024-02-15,-11
1393,2024-02-16,-3
1394,2024-02-17,-1
1395,2024-02-18,-2
1396,2024-02-19,-8
1397,2024-02-20,-8
1398,2024-02-21,-10
1399,2024-02-22,-10
1400,2024-02-23,-5
1401,2024-02-24,-3
1402,2024-02-25,-12
1403,2024-02-26,-11
1404,2024-02-27,-15
1405,2024-02-28,-6
1406,2024-02-29,-5
1407,2024-03-01,-5
1408,2024-03-02,-12
1409,2024-03-03,-11
1410,2024-03-04,-15
1411,2024-03-05,-14
1412,2024-03-06,-8
1413,2024-03-07,-5
1414,2024-03-08,-16
1415,2024-03-09,-16
1416,2024-03-10,-21
1417,2024-03-11,-10
1418,2024-03-12,-8
1419,2024-03-13,-8
1420,2024-03-14,-17
1421,2024-03-15,-15
1422,2024-03-16,-20
1423,2024-03-17,-19
1424,2024-03-18,-13
1425,2024-03-19,-9
1426,2024-03-20,-21
1427,2024-03-21,-21
1428,2024-03-22,-27
1429,2024-03-23,-14
1430,2024-03-24,-11
1431,2024-03-25,-12
1432,2024-03-26,-23
1433,2024-03-27,-20
1434,2024-03-28,-26
1435,2024-03-29,-24
1436,2024-03-30,-18
1437,2024-03-31,-13
